size_m2,rooms,age_years,km_to_center,price_chf
95.0,3.7,69,10.2,559000.0
126.0,5.2,35,4.8,815000.0
117.0,3.7,16,5.6,783000.0
117.0,4.4,30,18.5,566000.0
144.0,5.6,33,5.6,869000.0
59.0,2.6,56,4.2,568000.0
76.0,2.4,6,6.0,500000.0
55.0,2.3,4,10.1,399000.0
92.0,3.2,32,6.7,623000.0
125.0,3.9,10,10.7,779000.0
94.0,3.5,72,10.1,515000.0
110.0,4.1,11,8.0,738000.0
38.0,1.0,53,3.0,357000.0
99.0,3.8,44,9.1,579000.0
68.0,3.6,27,9.3,515000.0
148.0,4.4,45,13.2,775000.0
122.0,4.8,21,4.3,828000.0
123.0,5.0,78,1.4,793000.0
93.0,3.4,74,2.2,561000.0
113.0,4.2,23,10.5,699000.0
115.0,4.0,57,4.9,654000.0
85.0,3.9,61,17.5,448000.0
80.0,2.3,75,1.1,546000.0
92.0,3.2,62,4.5,630000.0
77.0,1.6,39,4.8,495000.0
77.0,2.9,59,0.2,604000.0
86.0,3.3,66,7.6,534000.0
73.0,1.6,22,1.7,559000.0
118.0,3.7,74,2.2,700000.0
47.0,2.0,64,6.4,341000.0
120.0,4.0,60,3.3,755000.0
76.0,2.0,62,3.7,452000.0
79.0,1.3,44,12.0,487000.0
54.0,2.1,57,17.5,285000.0
91.0,4.4,71,6.7,655000.0
88.0,2.8,37,8.3,549000.0
101.0,3.8,3,27.0,545000.0
79.0,3.0,51,12.0,524000.0
98.0,3.4,30,16.7,600000.0
150.0,5.4,42,2.6,996000.0
107.0,3.9,39,6.7,766000.0
78.0,2.2,69,5.4,495000.0
124.0,5.9,12,9.5,786000.0
91.0,4.9,79,19.1,541000.0
113.0,4.2,64,16.8,609000.0
113.0,5.1,24,1.6,798000.0
83.0,2.4,68,1.0,570000.0
37.0,1.2,70,0.9,402000.0
85.0,3.7,56,4.8,627000.0
112.0,3.3,13,5.3,642000.0
84.0,2.2,71,3.3,506000.0
108.0,4.0,6,10.4,683000.0
124.0,3.2,52,6.0,678000.0
79.0,3.8,59,17.4,504000.0
132.0,5.1,61,14.2,773000.0
144.0,5.3,17,1.5,938000.0
127.0,4.9,74,3.2,839000.0
130.0,4.1,5,9.7,794000.0
128.0,4.0,41,10.8,805000.0
163.0,6.3,18,19.7,917000.0
101.0,4.2,23,13.0,652000.0
95.0,3.5,79,7.8,593000.0
113.0,4.0,2,5.7,759000.0
68.0,2.1,11,7.4,594000.0
48.0,2.5,48,22.0,261000.0
