customer_id,tenure_months,contract,plan,monthly_fee,support_tickets_90d,autopay,logins_30d,churned
U10000,64,monthly,standard,67.8,1,1,3,0
U10001,62,two_year,premium,91.4,1,1,20,0
U10002,59,two_year,premium,39.4,2,0,2,0
U10003,61,two_year,standard,23.82,2,1,11,0
U10004,5,two_year,standard,86.13,0,1,13,0
U10005,58,one_year,standard,,0,0,12,0
U10006,67,monthly,standard,84.84,1,1,13,0
U10007,19,monthly,basic,,0,0,8,0
U10008,13,two_year,basic,80.56,1,1,11,0
U10009,6,two_year,standard,97.52,1,1,20,0
U10010,57,monthly,basic,71.11,2,0,14,0
U10011,68,monthly,standard,31.7,0,1,3,0
U10012,43,monthly,premium,,1,0,6,0
U10013,44,monthly,premium,66.52,0,0,6,0
U10014,57,two_year,premium,87.53,0,1,9,0
U10015,1,two_year,basic,61.69,0,0,9,0
U10016,60,monthly,premium,46.02,2,1,9,0
U10017,65,two_year,standard,56.77,0,0,4,0
U10018,10,one_year,premium,15.0,0,0,1,0
U10019,70,monthly,standard,75.76,3,0,10,0
U10020,61,monthly,basic,48.31,1,1,9,0
U10021,21,monthly,basic,107.39,4,1,15,0
U10022,35,monthly,basic,81.93,0,0,11,1
U10023,58,monthly,standard,97.89,2,0,4,0
U10024,64,monthly,standard,81.78,0,1,10,0
U10025,6,monthly,basic,49.99,1,1,2,0
U10026,47,two_year,basic,68.96,2,0,5,0
U10027,32,monthly,basic,92.86,0,1,6,0
U10028,25,monthly,premium,61.84,2,1,2,1
U10029,59,two_year,standard,71.88,1,1,8,0
U10030,49,monthly,basic,68.88,1,1,18,0
U10031,30,monthly,standard,,1,1,18,1
U10032,63,one_year,premium,67.22,2,1,5,0
U10033,37,monthly,basic,,2,0,24,0
U10034,61,one_year,basic,88.09,0,0,31,0
U10035,9,monthly,basic,69.96,0,1,12,0
U10036,65,monthly,basic,77.34,0,0,3,0
U10037,58,two_year,basic,52.06,0,1,18,0
U10038,38,two_year,premium,65.93,4,0,9,0
U10039,36,monthly,basic,76.08,2,0,13,0
U10040,23,two_year,basic,75.73,2,1,24,0
U10041,18,monthly,premium,16.02,1,1,2,0
U10042,20,monthly,basic,52.24,2,0,5,0
U10043,56,monthly,basic,38.86,1,1,7,0
U10044,28,two_year,premium,119.69,0,0,8,0
U10045,70,monthly,basic,98.45,1,1,3,0
U10046,28,monthly,standard,82.01,0,0,20,0
U10047,39,two_year,basic,51.8,0,0,9,0
U10048,29,two_year,premium,63.93,1,0,13,0
U10049,53,two_year,standard,75.1,0,1,14,0
U10050,26,two_year,premium,101.21,1,1,6,0
U10051,71,monthly,standard,37.35,0,0,5,0
U10052,46,one_year,standard,44.48,1,1,5,0
U10053,3,two_year,premium,35.67,5,0,17,1
U10054,68,monthly,basic,40.42,1,0,5,0
U10055,43,two_year,standard,49.79,1,1,5,0
U10056,49,monthly,basic,57.69,1,1,10,0
U10057,69,two_year,premium,91.13,1,1,17,0
U10058,21,two_year,basic,49.15,1,1,1,0
U10059,9,one_year,basic,69.88,1,1,7,0
U10060,49,one_year,basic,58.2,0,0,6,0
U10061,16,two_year,basic,27.55,1,1,27,0
U10062,2,two_year,standard,92.1,2,0,35,0
U10063,40,one_year,basic,87.41,1,0,2,0
U10064,39,two_year,standard,64.54,0,1,10,0
U10065,52,two_year,basic,56.6,4,1,11,0
U10066,65,monthly,standard,66.72,2,0,22,1
U10067,40,one_year,premium,80.94,1,0,11,0
U10068,18,monthly,premium,47.64,0,0,2,0
U10069,39,monthly,basic,49.01,4,0,18,0
U10070,5,monthly,premium,73.77,2,1,12,1
U10071,4,two_year,basic,39.25,4,0,5,1
U10072,8,monthly,basic,29.73,0,1,20,1
U10073,53,one_year,standard,69.88,1,1,11,0
U10074,64,monthly,basic,51.04,0,1,12,0
U10075,23,two_year,premium,24.93,2,0,4,0
U10076,7,one_year,standard,94.45,3,1,4,1
U10077,6,two_year,basic,72.12,3,1,7,0
U10078,10,one_year,basic,35.35,2,0,14,0
U10079,69,monthly,standard,28.08,1,1,10,0
U10080,12,two_year,basic,44.77,1,1,6,0
U10081,47,monthly,basic,55.71,3,1,6,0
U10082,44,monthly,basic,86.48,2,0,5,0
U10083,33,monthly,basic,42.17,3,1,8,0
U10084,34,monthly,basic,67.44,1,1,11,0
U10085,53,one_year,basic,26.47,1,1,16,0
U10086,58,one_year,basic,72.1,1,1,31,0
U10087,34,monthly,standard,76.01,0,1,22,0
U10088,48,monthly,premium,99.56,1,1,10,0
U10089,9,monthly,standard,84.32,0,1,9,0
U10090,67,monthly,basic,37.31,0,1,11,0
U10091,43,one_year,basic,65.08,0,0,6,0
U10092,49,monthly,standard,,0,0,1,1
U10093,54,monthly,basic,48.34,0,0,10,0
U10094,19,monthly,basic,51.01,0,0,11,0
U10095,53,monthly,basic,63.06,0,1,13,0
U10096,69,monthly,basic,64.72,1,1,9,0
U10097,40,one_year,standard,29.4,0,1,20,0
U10098,23,one_year,premium,70.09,0,0,10,0
U10099,66,monthly,standard,85.51,2,0,4,0
U10100,56,two_year,basic,56.9,1,1,16,0
U10101,68,monthly,standard,73.46,1,0,11,0
U10102,51,monthly,standard,76.03,3,0,6,0
U10103,63,two_year,basic,66.38,1,1,10,0
U10104,56,monthly,basic,49.31,0,0,9,0
U10105,27,one_year,standard,49.9,0,1,15,0
U10106,57,monthly,basic,102.53,2,0,7,0
U10107,20,monthly,basic,96.62,1,0,12,0
U10108,67,monthly,standard,25.69,0,0,4,0
U10109,38,one_year,basic,50.38,0,0,13,0
U10110,38,one_year,basic,75.65,2,1,20,0
U10111,47,monthly,basic,68.36,1,1,10,0
U10112,23,one_year,standard,117.92,4,0,6,1
U10113,12,two_year,basic,40.09,3,0,18,0
U10114,52,one_year,standard,77.49,1,0,5,0
U10115,40,two_year,premium,70.7,1,0,3,0
U10116,51,monthly,premium,67.46,1,1,34,0
U10117,32,one_year,basic,44.31,2,1,2,0
U10118,32,one_year,premium,40.52,2,0,55,0
U10119,1,monthly,premium,56.57,2,0,10,1
U10120,49,one_year,basic,15.0,1,1,5,0
U10121,30,monthly,premium,99.23,2,0,31,0
U10122,6,monthly,basic,69.26,1,0,16,1
U10123,29,one_year,standard,92.42,0,1,27,0
U10124,4,monthly,basic,71.12,2,1,7,0
U10125,69,two_year,basic,117.14,0,0,11,0
U10126,16,one_year,basic,72.28,1,0,7,0
U10127,4,two_year,standard,68.88,3,1,7,0
U10128,53,monthly,basic,107.56,1,0,6,0
U10129,66,monthly,basic,84.89,0,0,24,0
U10130,20,monthly,basic,126.65,1,0,7,1
U10131,65,monthly,basic,69.43,0,1,5,0
U10132,16,monthly,basic,69.35,2,1,8,0
U10133,43,one_year,premium,85.26,1,0,16,0
U10134,49,monthly,standard,71.35,0,1,7,0
U10135,14,monthly,basic,72.0,0,1,10,0
U10136,12,two_year,basic,81.55,1,1,16,0
U10137,57,monthly,standard,35.9,1,0,15,0
U10138,36,monthly,premium,62.57,1,1,20,0
U10139,12,two_year,basic,79.41,1,0,14,1
U10140,59,one_year,premium,45.27,0,0,13,0
U10141,23,monthly,basic,35.32,0,0,11,1
U10142,23,monthly,standard,15.0,1,1,0,0
U10143,48,monthly,premium,52.93,1,0,14,0
U10144,16,one_year,standard,54.55,1,1,7,0
U10145,31,two_year,basic,51.04,2,0,7,0
U10146,52,monthly,basic,102.15,0,0,7,0
U10147,33,one_year,premium,113.22,2,1,15,0
U10148,38,monthly,premium,42.36,1,1,2,0
U10149,22,one_year,basic,38.61,0,1,26,0
U10150,64,monthly,standard,70.91,0,0,14,1
U10151,3,one_year,standard,79.23,1,1,17,0
U10152,5,one_year,basic,40.48,0,0,6,0
U10153,26,monthly,basic,50.91,3,0,4,1
U10154,52,one_year,standard,,0,0,13,0
U10155,59,monthly,premium,21.18,1,1,15,0
U10156,41,one_year,premium,39.41,1,0,5,0
U10157,59,monthly,basic,75.25,3,0,8,1
U10158,50,monthly,standard,84.17,1,1,7,0
U10159,6,monthly,premium,62.03,1,0,21,1
U10160,45,monthly,standard,55.49,1,0,10,0
U10161,40,one_year,basic,83.46,2,0,5,0
U10162,52,monthly,premium,62.45,2,0,27,0
U10163,26,monthly,basic,28.53,2,1,10,0
U10164,24,monthly,premium,74.67,1,1,8,0
U10165,29,monthly,premium,90.42,1,0,4,0
U10166,23,monthly,standard,74.39,2,0,3,0
U10167,71,two_year,premium,54.4,2,1,23,0
U10168,7,monthly,premium,54.75,1,0,5,0
U10169,58,monthly,basic,30.5,2,0,7,0
U10170,34,one_year,standard,34.69,0,1,17,0
U10171,36,monthly,premium,49.01,1,0,11,0
U10172,1,monthly,basic,53.95,0,0,3,0
U10173,37,monthly,basic,46.81,2,0,15,0
U10174,61,two_year,standard,62.13,1,0,6,0
U10175,66,monthly,standard,60.44,0,1,7,0
U10176,31,monthly,basic,69.94,1,0,22,0
U10177,27,monthly,standard,25.14,5,1,6,0
U10178,62,monthly,standard,80.96,0,0,2,0
U10179,56,monthly,standard,,1,0,2,0
U10180,68,two_year,standard,66.23,0,1,10,0
U10181,52,two_year,standard,88.13,0,1,14,0
U10182,70,monthly,basic,68.2,2,0,7,0
U10183,53,two_year,basic,19.14,1,1,1,0
U10184,10,monthly,basic,91.3,0,0,16,1
U10185,33,one_year,standard,60.46,1,0,3,0
U10186,30,monthly,premium,28.18,0,0,16,0
U10187,49,monthly,standard,15.73,1,0,4,0
U10188,33,one_year,standard,82.64,5,1,20,0
U10189,60,monthly,standard,78.53,3,0,3,0
U10190,6,two_year,basic,50.21,1,1,14,0
U10191,21,monthly,basic,47.86,4,0,25,1
U10192,58,two_year,basic,84.49,2,0,7,0
U10193,55,two_year,standard,61.23,1,0,11,0
U10194,55,one_year,premium,50.46,0,0,1,0
U10195,35,one_year,standard,37.22,3,0,9,0
U10196,3,monthly,standard,60.92,4,0,1,1
U10197,38,monthly,premium,17.53,3,1,10,0
U10198,2,one_year,standard,90.2,2,1,18,1
U10199,34,monthly,standard,62.99,3,0,6,0
U10200,25,one_year,basic,65.56,0,1,5,0
U10201,27,monthly,basic,38.42,1,1,7,1
U10202,16,one_year,standard,62.36,0,0,12,0
U10203,54,one_year,standard,44.28,1,0,18,0
U10204,34,monthly,premium,55.71,1,0,10,0
U10205,28,one_year,premium,30.26,1,0,12,0
U10206,66,two_year,basic,61.4,2,0,7,0
U10207,13,two_year,standard,44.62,4,1,10,1
U10208,36,one_year,premium,53.31,3,0,4,0
U10209,56,one_year,premium,45.26,1,0,7,0
