order_id,order_date,customer_id,country,category,unit_price,quantity,status
O103201,2025-01-01,C2796,DE,Electronics,,3,delivered
O102169,2025-01-01,C2030,IT,Home,72.49,1,delivered
O103758,2025-01-01,C2042,IT,Fashion,47.47,1,delivered
O100232,2025-01-01,C2189,CH,Books,22.05,1,delivered
O102100,2025-01-01,C1763,DE,Fashion,182.92,1,delivered
O103690,2025-01-01,C2199,CH,Fashion,79.67,3,delivered
O100728,2025-01-01,C2329,CH,Books,9.18,3,delivered
O101700,2025-01-01,C2271,DE,Sports,114.9,3,delivered
O102139,2025-01-01,C1029,AT,Home,70.9,1,delivered
O101300,2025-01-02,C2327,CH,Electronics,168.25,2,delivered
O100659,2025-01-02,C1866,CH,Electronics,378.05,1,returned
O100300,2025-01-02,C2563,FR,Electronics,226.09,3,delivered
O103146,2025-01-02,C2470,FR,Books,20.15,1,delivered
O104651,2025-01-02,C2175,AT,Sports,62.83,3,delivered
O100638,2025-01-02,C2294,FR,Fashion,37.56,2,delivered
O103081,2025-01-02,C1917,DE,Sports,86.32,2,delivered
O104155,2025-01-03,C2319,AT,Sports,112.06,1,delivered
O100098,2025-01-03,C1735,DE,Fashion,36.59,2,delivered
O100977,2025-01-04,C1611,DE,Electronics,39.28,1,delivered
O102518,2025-01-04,C2592,CH,Home,128.5,3,delivered
O104588,2025-01-04,C2325,CH,Books,13.03,2,delivered
O101671,2025-01-04,C1631,CH,Fashion,23.15,2,returned
O104174,2025-01-04,C1666,FR,Fashion,74.81,1,delivered
O104919,2025-01-04,C2088,CH,Home,10.72,3,delivered
O102446,2025-01-04,C2350,CH,Home,63.71,1,delivered
O100124,2025-01-05,C2218,DE,Books,37.11,1,delivered
O101179,2025-01-05,C1183,AT,Electronics,313.55,3,delivered
O101771,2025-01-05,C1638,IT,Fashion,34.92,2,delivered
O104768,2025-01-05,C1511,AT,Sports,34.3,2,returned
O102365,2025-01-05,C2757,CH,Electronics,143.75,1,returned
O100240,2025-01-05,C2244,FR,Books,18.31,2,returned
O104393,2025-01-05,C2526,CH,Electronics,102.85,2,delivered
O101179,2025-01-05,C1183,AT,Electronics,313.55,3,delivered
O103395,2025-01-06,C1585,FR,Home,49.92,1,delivered
O100682,2025-01-06,C1428,AT,Home,96.25,1,delivered
O100512,2025-01-06,C2465,DE,Books,10.22,1,delivered
O100406,2025-01-06,C1709,CH,Fashion,26.79,1,delivered
O101291,2025-01-06,C1222,DE,Home,90.9,1,delivered
O102959,2025-01-06,C1004,IT,Home,108.43,2,delivered
O102839,2025-01-06,C1731,FR,Electronics,163.18,2,delivered
O104057,2025-01-07,C1034,DE,Books,13.65,3,delivered
O102520,2025-01-07,C1718,AT,Fashion,138.0,3,delivered
O102631,2025-01-08,C1183,AT,Books,18.89,1,returned
O103879,2025-01-08,C2472,CH,Fashion,23.58,2,delivered
O100696,2025-01-08,C1854,IT,Electronics,76.55,3,returned
O100975,2025-01-08,C1653,CH,Home,113.23,1,returned
O103452,2025-01-08,C2685,DE,Fashion,35.99,2,delivered
O100431,2025-01-08,C1637,CH,Electronics,345.33,2,delivered
O104692,2025-01-08,C1025,FR,Fashion,34.21,1,cancelled
O100621,2025-01-08,C1689,FR,Books,15.97,3,delivered
O101697,2025-01-08,C1417,CH,Electronics,141.2,1,delivered
O102908,2025-01-09,C1400,AT,Electronics,161.79,3,delivered
O104977,2025-01-09,C2306,DE,Home,68.02,2,delivered
O101438,2025-01-09,C2698,DE,Electronics,237.21,2,delivered
O103529,2025-01-09,C2094,AT,Fashion,57.79,3,delivered
O104396,2025-01-09,C2404,DE,Fashion,47.39,1,delivered
O103702,2025-01-09,C2482,FR,Home,91.37,3,delivered
O100064,2025-01-10,C2593,IT,Books,13.99,1,delivered
O103397,2025-01-10,C2733,AT,Electronics,177.51,2,delivered
O104055,2025-01-10,C1983,DE,Home,55.34,1,delivered
O101991,2025-01-10,C2744,CH,Home,56.81,2,delivered
O103429,2025-01-10,C2517,DE,Home,14.01,1,delivered
O104254,2025-01-10,C2085,DE,Home,70.25,2,delivered
O100697,2025-01-10,C1623,CH,Home,141.19,3,delivered
O103872,2025-01-11,C1652,AT,Electronics,582.61,1,delivered
O103604,2025-01-11,C2633,FR,Home,74.04,3,delivered
O102660,2025-01-11,C2361,FR,Electronics,91.95,1,delivered
O104546,2025-01-11,C1260,CH,Home,30.21,1,delivered
O104844,2025-01-11,C1518,FR,Home,23.68,2,delivered
O100934,2025-01-11,C2518,IT,Sports,89.63,3,delivered
O103228,2025-01-11,C1771,FR,Home,55.98,2,delivered
O103487,2025-01-11,C1611,FR,Books,14.51,2,delivered
O104698,2025-01-11,C1132,CH,Electronics,171.7,3,delivered
O102223,2025-01-11,C2225,CH,Sports,221.79,2,delivered
